NDR 0.33, RR 0.00, RA 0.35, AA 0.31
NDR 0.29, RR 0.00, RA 0.31, AA 0.27
NDR 0.35, RR 0.00, RA 0.41, AA 0.28
NDR 0.51, RR 0.00, RA 0.63, AA 0.33
NDR 0.33, RR 0.00, RA 0.32, AA 0.35
NDR 0.28, RR 0.00, RA 0.21, AA 0.37
NDR 0.43, RR 0.00, RA 0.48, AA 0.38
NDR 0.36, RR 0.00, RA 0.42, AA 0.28
NDR 0.31, RR 0.00, RA 0.25, AA 0.39
NDR 0.30, RR 0.00, RA 0.28, AA 0.34
NDR 0.30, RR 0.00, RA 0.32, AA 0.27
NDR 0.46, RR 0.00, RA 0.56, AA 0.33
NDR 0.48, RR 0.00, RA 0.31, AA 0.74
NDR 0.27, RR 0.00, RA 0.29, AA 0.25
NDR 0.24, RR 0.00, RA 0.22, AA 0.27
NDR 0.81, RR 0.00, RA 1.10, AA 0.39
NDR 0.29, RR 0.00, RA 0.22, AA 0.39
NDR 0.24, RR 0.00, RA 0.12, AA 0.40
NDR 0.43, RR 0.00, RA 0.33, AA 0.57
NDR 0.48, RR 0.00, RA 0.48, AA 0.48
NDR 0.35, RR 0.00, RA 0.38, AA 0.30
NDR 0.38, RR 0.00, RA 0.14, AA 0.75
NDR 0.30, RR 0.00, RA 0.28, AA 0.33
NDR 0.45, RR 0.00, RA 0.55, AA 0.32
NDR 0.55, RR 0.00, RA 0.70, AA 0.33
NDR 1.40, RR 0.00, RA 1.88, AA 0.68
NDR 0.35, RR 0.00, RA 0.33, AA 0.37
NDR 0.30, RR 0.00, RA 0.26, AA 0.35
NDR 0.56, RR 0.00, RA 0.30, AA 0.92
NDR 0.91, RR 0.00, RA 1.32, AA 0.33
NDR 0.20, RR 0.00, RA 0.13, AA 0.29
NDR 0.31, RR 0.00, RA 0.16, AA 0.53
NDR 0.30, RR 0.00, RA 0.33, AA 0.27
NDR 0.29, RR 0.00, RA 0.31, AA 0.26
